no|title|text|senti_value
7001|SDM nya perbaikin, pelayanan buruk!|Awal pesan barangnya pake metode COD, di notice barang belum terkirim (masih ditangani penjual) tp pas saya hubungin CSOnya malah ngasih tautan trecking list (masukin no resi). Mau ngecek pake no resi yg mana? Di kirim sama sellernya aja blum, pake nomer KTP? Apa nomer sepatu?|2
7003|LAZADA SANGAT MENGECEWAKAN DAN TIDAK PROFESIONAL|"LAZADA ""Sangat MENGECEWAKAN"" Berharap mendapat barang original sebuah jam tangan, memesannya dengan metode COD, kali pertama pesan. 14hari tidak sampai,email ke LAZADA , dijelaskan barang tidak sampai,krn pembatalan sepihak oleh LAZADA,pesan kedua,barang sama, check di JNE, ada notif *Nomer HP tidak bisa dihubungi. *Fuck,padahal sudah mencantumkan nomer lebih dari 1. LAZADA skrg niat jualan gk sih?"|2
7005|KECEWA|Saya pesan susu halt SPS, lalu di batalkan secara otomatis karena suplier tdk bisa kirim sesuai tgl estimasi dr lazada.. saya sebagai pembeli sangat kecewa, karena uang sudah di transfer tapi kenapa pihak lazada membatalkan begitu saja.. dan saya chat live trs, dan di suru refund (21 juli 2016).. ternyata sudah lewat 7 hari kerja masih tetap tidak terima uang nya.. chat live kembali, cm bilang mau di tindak lanjuti.. tapi sampai saat ini (08 agustus 2016) saya tetap tidak terima uang saya kembali.. makan tuh uang HARAM... Saya KECEWA SANGAT KECEWA.. proses lazada yg berbelit-belit dalam pengembalian dana.. saat belanja kita harus transfer dalam waktu 24 jam, tapi saat pengembalian dana begitu lama bahkan tidak kembali.. lazada tutup az deh..!!! .................................................................................................|1
7006|pengiriman lama|saya order handphone pada tanggal 28 juli transfer via atm dan pengiriman gratis, katanya barang dikirim dengan penjelasan Standard Pengiriman antara 29/07 - 03/08/2016, tapi sampai sekarang barang belum sampai, kecewa udah 1 minggu lebih nunggu barang belum sampai|1
7007|SANGAT SANGAT JELEK BUBARIN AJA|KURIR GA SMS UDH TAU BAYAR DI TEMPAT HARUSNYA SMS DONG DASAR|1
7011|barang tidak sesuai|Saya membeli earphone xiaomi harga 90an rbu. Pengiriman sesuai jadwal. Tapi kurirnya ngeselin. Mungkin karena saya ga ngasih tips, hanya sisa kembalian itu tidak saya minta. Untuk earphone harga 90an ribu kualitasnya sangat[inappropriate content removed] tidak ada bassnya, tidak bisa buat telfon. Hanya bisa buat dengerin musik. Diskon banyak yang menipu|1
7012|Barang elektronik cepat rusak|Saya sering belanja di lazada awalnya hanya berbelanja tas dan itu free ongkir, lalu saya belanja lagi hal lain nya beli barang elektronik, saya beli sisir elektrik nah pas saya pakai sekitar dua minggu kok rusak ya, saya berpikirn positif mungkin saya terlalu kasar memakai nya, jadi yasudahlah. Trus saya belanja barang lagi pompa galon elektrik awalnya wis bagus ni kan, lama kelamaan nggak sampai sebulan eh tu pompa nggak mau ngeluarin air lagi ntah bingung kenapa padahal udah di coba ganti baterai nya, trus pencet on off nya emang berputar tapi air tak kunjung keluar. Ah sudahlah saya kecewa banget, apa lagi kiat riview yang lain pengalaman nya juga seperti saya, trus ya sebelum pipa air saya rusak saya udah terlanjur pesan sisir elektrik tapi merek yang lebih bagus dari pada sisir yang pertama saya beli semoga aja nggak mengecewakan saya lagi|1
7013|kecewa|Pesan brg dr tgl 4 Juli SD sekarang tgl 16 Juli blm jg sampai.. Padahal klo onlen yg lain yg murah sekalipun 3-4 hari sampai.. Tolong dong Lazada diperbaiki sistemnya.. Klo gini trus byk pelanggan yg pindah ke onlenshop lain lho..|1
7015|Very Bad Customer Service and After Sales Service|Sebelum-sebelumnya tidak ada masalah dengan belenja di Lazada. Namun pd 15 Juli pesan parfum dengan Firts Logistics sebagai kurir, sampai sekarang barang belum sampai dengan notifikasi barang sudah dikirim. Sudah komplain berkali-kali lewat Live Chat, email, dan telepon, tapi realisasi pengembalian uang tidak terjadi. Saya harap Lazada bertanggung jawab terhadap konsumennnya. Uang sejumlah IDR 374.000 bukan jumlah yang kecil. Bila ada ratusan orang dengan masalah yang sama, berarti Lazada sudah makan duit HARAM karena merampok pelanggannya. Pemerintah harus turun tangan mengawasi Penjual Online nakal seperti Lazada ini.|1
7016|Kecewa|Kecewa bgt sama lazada pesennya udh dri minggu kemaren nyanpenya baru sekarang trus Barangnya beda bgt sama yg digambar kecewaaa saya gak lagi² deh pesan di lazada udh cape nunggu eh pas liat barangnya beda BGT sama yg di foto|1
7018|Pelayanan pengembalian dana sangat jelek|Saya order 17 sept dan pesanan di tolak sepihak tgl 18 sept kemudian sampai sekarang tgl 23 oktober proses pengembalian dana tidak selesai, uang saya belum kembali. Padahal saya belanja menggunakan fasilitas debit online|1
7019|LEBIH BAIK TOKO ONLINE INI TUTUP|Berawal Pesan barang Dilazada pada bulan 11-2016 ini percakapan via koment FB yang saya ambil chat ahir2 saja CS kami sudah infokan detailnya melalui email tanggal 21 Desember 2016 pukul 11:26 WIB. Silahkan cek inbox/spam/junk email kamu. Terima kasih. -Sagita. ( isi Email -Kami informasikan bahwa berdasarkan konfirmasi dari pihak jasa pengiriman, pesanan Bapak/Ibu NORMA dengan no pesanan 324643561 telah berhasil diterima.) isi Balasan Komen saya di FB tu email yg dikirim, yang terima barangnya atas nama siapa, pake kurir apa, sampai saat ini barang blm ada di tempat alamat tujuan, tolong di upload tanda terimanya.kalau memang sudah di terima di alamat yg di tuju. Setelah itu dibalas lagi Mohon maaf sebelumnya, kami sedang menindaklanjuti hal tersebut, mohon ditunggu perkembangannya. -Raras. Intinya Lazada TUKANG TIPU TIDAK TANGGUNG JAWAB CUMA JANJI-JANJI|1
7020|NO RESI dan EKSPEDISI tidak diberitahu|Kenapa sih kita sudah order sdh ditransfer uangnya tapi sampe saat ini barang sudah 6 hri belum sampe juga. Kenapa ga di kasih no RESI dan melalui EKSPEDISI apa mengirimkannya supaya costumer tidak was was. Diperbaiki dong sistemnya masa olshop sebesar itu pelayanannya sangat[inappropriate content removed]|1
7021|Parah|Pengiriman tidak sesuai batas waktu yang ditentukan,, saatnya kita berpaling ke tetangga sebelah karena terlihat sangat molek dan menggairahkan....|1
7022|palkor|Tidak pernah sesuai dengan apa yang ada di iklan. Tidak pernah sesuai pesanan. Pesanan super lama. Kurirnya super galak.pokoknya ga lagi2 beli dilazada.|1
7024|Keburu lebaran monyet.|Beli barang niatnya buat kado dihari lebaran.. eh sampe detik ini belum diterima kan tai. Lex lex apalah itu jasa pengiriman amatiran. ...kecewa gw ama nih onlen shop. Ga professional amat nih company... yg jelas omongannya gak sama kaya kenyataan.|1
7025|Kecewa|Kalo ada yg bikin petisi lazada indonesia ditutup saya ikut,. Nyeseknya disuruh nunggu terus sampai ubanan|1
7026|Kurang bagus|Toko yang menjual di Lazada, tidak di update/dicel oleh Lazada mengenai after sales service nya. Sehingga produk yang rusak, tidak bisa diservice sesuai yang dibuku garansi|1
7028|Buruk|Njirrr....Pesan dompet tanggal 11 sampe sekarang Masih diproses.di email udh d kirim . Eh pas cek no resinya not found :v kapok saya belanja di lazada Ni Lazada niat jualan gk sih|1
7029|kapok deh beli di online|sekarang saya kapok beli online barang kebanyakan tidak bagus jellek|1
7030|Pesan 3 barang sudah seminggu baru 1 yang dikirim|Respon nya lambat. Gimana bisa bersaing dengan lapak sebelah. Dengan gojek pesan pagi siang sudah dapat. Lah klao lazada seminggu pun belum dikirim2. Ga yakin lazada bisa bertahan dan bersaing kalau service seperti ini... Sepertimya ini jadi belanja terakhor saya di lazada|1
7031|Pelayananya buruk|Cs boot .. Email cs boot...live chat boot..Parah ckck..udah transfer transaksi gk diverifikasi dibatalin secara sepihak , refund no respond .. mending belanja disebelah. semoga duit haramnya berkah buat perusahaannya .. Bikin sakit hati kesekian kali .. Cukup lah 3x ini MENGECEWAKAN!|1
7033|GAK JUJUR|Katanya tadi pagi barangnya sudah dalam perjalanan suruh siapin uang. Mm sampai sekarang belum sampai2 ni barang. Aneh buang2 waktu orang untuk menunggu|1
7034|rafa|buruk|2
7035|Tak bisa bicara apa lagi tentang lazada|Pengalaman pertama beli aja udah di kecewakan... kapok untuk belanja di lazada.... entah mau sampai kapan barang bisa saya terima.... sampai sekarang juga ga tahu itu barang sampai dimana.... TOLONG CATAT... SAYA TIDAK AKAN PERNAH BELANJA DI LAZADA LAGI MAUPUN ONLINE SHOP LAINNYA....|1
7036|Lazada: Membosankan|Tiga kali melakukan transaksi di Lazada dengan tiga barang yang berbeda hanya satu barang yang bisa dikategorikan lumayan. Transaksi pertama begitu cepat, sesuai dengan estimasi, transaksi kedua sangat mengecewakan dan membosakan. Saya harus bolak-balik chat dengan pihak Customer Service, walau begitu CS Lazada cukup membantu tetapi sepertinya kebanyakan janji dan tak jarang membuat geram. Cukup tiga kali itu saja lah beli barang di Lazada. Terima kasih Lazada: membosankan.|2
7037|MERASA TERTIPU OLEH LAZADA|"saya melakukan pembelian produk pada tanggal 21 juli 2016, dan pada tanggal 28 juli 2016 saya heran kenapa barang saya belum sampai, kemudian saya cek pesanan saya melalui website lazada, dan ternyata ""BARANG MASIH DIPROSES"". dengan itu saya email ke cust cara lazada, di jawab oleh Bpk. Zulfikar dari pihak lazada, beliau memberitahukan bahwa no resi saya dengan no sekian2, dan kemudian saya melakukan cek resi ternyata ""NOT FOUND"". Kemudian saya menghubungi pihak lazada melalui live chat, dikatakan bahwa akan mentindaklanjuti ke pihak penjual dana akan menghubungi saya 2x24 jam max, tetapi saya sudah melakukan itu 2x yang artinya saya sudah tunggu selama 4x24 jam tanpa jawaban yang jelas. di ketentuan lazada bahwa di atas 5 hari jika barang belum sampai maka bisa dilakukan pembatalan. saya mencoba kembali untuk menghubungi lazada via cust care di nomor [private info removed] dengan Rizki, beliau mengatakan untuk sekarang masih belum bisa dilakukan pembatalan, dikarenakan harus di tindaklanjuti ke pihak penjual terlebih dahulu. Dan artinya kita harus menunggu dan menunggu dengan tidak ada kepastian. beberapa kali saya berbelanja di online store lain tidak ada masalah, tetapi di lazada ada masalah seperti ini. sangat di sayang kan lazada dengan brand "" toko online terbesar"" tetapi memiliki after service yang payah."|1
7038|KECEWA !!!!|saya sudah sering belanja di Lazada namun karena suka lupa password jadi sering ganti akun. Kalau pas belanja pertama di Lazada itu memang selalu memuaskan entah ngirimnya yang cepat atau ada diskon besar2an tapi semakin kebelakang bakal semakin berkurang kualitasnya entah packingnya yang makin buruk, barangnya lecet, proses retur yang susah. Tapi baru kali ini saya kecewa berat belanja di Lazada. Saya pesan barang sudah lebih dari seminggu tiba2 dibatalin sepihak dari sananya katanya barang tidak dijual di Jakarta padahal tidak ada keterangan seperti itu sama sekali di halaman produknya dan anehnya butuh waktu selama itu cuma buat ngebatalin pesanan saya yang seandainya dilakukan Lazada lebih cepat (maks 3 hari dari waktu saya pesan)ga bakal bikin saya sekecewa ini. Dan setelah saya lapor cuma dikasih permintaan maaf bahkan mengganti keterangan di halaman produk pun tidak dilakukan pihak Lazada. Sebaiknya memang belanja offline saja yang lebih pasti barang dan kualitasnya.|1
7040|konsumen dipersulit|tidak dapat menghubungi supplier produk padahal sudah mau seminggu tapi status order masih diverifikasi,tidak dikirim-kirim padahal urgent produknya, ketika menghubungi CS cuman disuruh menunggu dan mereka tidak mau memberikan informasi terkait supplier untuk saya hubungi mengenai produk. untuk melakukan refund,saya disuruh melakukan retur saja padahal produk saja belom dikirim|1
7041|SAMPAH|Saya memesan kamera digital dengan harga yang mahal 10,6 juta rupiah dan dikontak oleh sellernya bahwa stok kamera dengan warna yang saya inginkan habis. Saya menolak dikirim dan memilih untuk cancel. Setelah itu, saya memproses pembatalan pesanan dengan form lazada dan akan diproses. Ternyata barang tetap dikirim dan tiba dengan warna yang tidak sesuai.|1
7042|Kecewa|Saya membeli sepatu Futsal puma, saya order dari tanggal 16 desember dan 4 hari kemudian di batalkan karna stok habis, Lucu ga sih? Dan saya mendapatkan voucher yg nilainya sama, dan saya membeli sepatu futsal lagi dan sama kejadian yg tadi di batalkan secara sepihak dengan alasan ada masalah di bagian pengirimian, jadi sekiranya lazada gabisa jualan ya gusah jualan sama aja penipuan inimah , mau refund caranya ribet, pokonya kecewa dengan lazada|1
7043|Sangat mengecewakan!|pada tanggal 30 november kemarin saya melakukan pemesanan dan pembayaran lewat lazada untuk pembelian headset xiaomi 1 more voice of china edition seharga IDR 204.000 saya tertarik membeli barang tersebut karena ada voucher diskon dan gratis bea jasa pengiriman.keterangan yang tertulis pesanan akan sampai antara tanggal 5-8 desember.setelah saya cek nomer resinya beberapa hari kemudian barang saya sudah sampai di jne warehouse pasuruan.alamat saya ada di pasuruan.saya coba menunggu sampai hampir 2 minggu tidak ada barang yang sampai kerumah saya.saya ajukan komplain ke bagian cs lazada katanya disuruh menunggu sampai 3 hari kedepan dan apabila barang masih belum sampai disuruh untuk menghubungi kembali.dan nyatanya sampai detik ini tertanggal hari ini tanggal 5 januari 2017 saya belum menerima barang saya.berkali kali saya disuruh menunggu.dan parahnya saya dikirimi email dari lazada kalau saya telah menerima barang saya padahal saya belum menerima.saya protes.dan katanya masih disuruh nunggu lgy sampai 3 hari kedepan.ini sudah lebih dari 3 hari seperti yang terakhir dijanjikan pada saya.dan nyatanya barang masih belum sampai hingga saat ini.harus berapa lama lagi saya disuruh menunggu?setahun?saya sempat minta refunds dana pada cs lazada tapi tidak ada respon.dan semalam saya mendapatkan email kembali untuk ulasan mengenai barang yang saya terima.bagaimana saya dapat menulis ulasan barang sementara saya belum menerima barangnya?2x saya berbelanja di lazada,dua2nya mengecewakan.dan ini yang paling buruk.cukup terakhir ini belanja di lazada.mending tidak ada diskon dan bayar biaya pengiriman daripada diskon dan free ongkir tapi pelayanan sangat tidak bermutu seperti ini. dan setelah seblan lebih saya minta refund dana akhirnya dituruti juga setelah saya berkali kali komplain.|1
7044|pengiriman sangat lama dan blm sampai sampe skr|beli barang tgl 28 juni,dikirim keterangannya tgl 29 juni,sampe sekarang tgl 12 juli barang blm sampe.customer servicenya sangat berbelit-belit dan hanya minta saya untuk menunggu dan memberi info barang dalam proses pengiriman. saya berharap masyarakat cerdas untuk menghindari lazada indonesia sampai mereka bisa memperbaiki servisnya saya berharap lazada menutup sementara LEX,kurir internal yg kinerjanya sangat buruk,kembali menggunakan RPX, JNE dan Tiki yg terbukti lebih kompeten untuk komen yg menyatakan puas,tanda tanya besar........jangan2 komen bayaran|1
7046|LAZADA PARAH|super lelet pengiriman lazada gak sesuai estimasi , live chat ingin batalkan sampe 5 cs gw live jawabannya sama menunggu supaya tdk dibatalkan , akhirnya sampai ke 6 dibalas juga kalau gak mau silahkan tdk diterima , beda banget sam zalora , bukalapak mereka dalam pengiriman lebih baik gak kayak ini super lelet mentang mentang ngasih biaya gratis kirim kali ya|1
7047|MIMPI BURUK BELANJA DI LAZADA|JANGAN BELANJA DI LAZADA KARENA AKAN MENAMBAH PERMASALAHAN HIDUP DAN STRESS. APALAGI KALAU BERBELANJA JUMLAH BESAR, JANGAAAAAN. SAYA SARANKAN JANGAN. TIDAK ADA KEPASTIAN KAPAN BARANG DATANG, AFTER SALES SUPPORT NYA SANGAT JELEK DAN TIDAK ADA KOORDINASI. EMOSI DAN NAIK PITAM KALAU BERHADAPAN DENGAN CUSTOMER SUPPORT DARI LAZADA. LAMA SEKALI MELAKUKAN REFUND, BENAR2 MIMPI BURUK|1
7048|Sangat Sulit dan berbelit-belit untuk melakukan proses refund.|Sangat Sulit dan berbelit-belit untuk melakukan proses refund. Dan ini pun juga belum ada repson dari Lazada.co.id|1
7050|ribet|saya memesan hp di lazada.dengan proses COD .barang datang tidak sesuai tanggal yang dijanjikan.dan barang yang datang tidak bisa digunakan/rusak.setelah itu saya minta refun.untuk pengembalian uang saya yang sudah diberikan pada proses COD.dan saya sudah melakukan semua prosedur refun dan saya mengirim kembali ke pihak lazada.dan sampe sekarng tidak ada tanggapan apa apa dari lazada apa barng sudah sampai atau belum .CS pun memberi informasi yang simpang siur.ada yang bicara barang sedang proses QC ada yang bilang barang belum sampai.sedangkan saya mengembalikan barang dengan kurir JNE YES.yang sudah jelas dari JNE barang sudah diterima lazada.sampe saat ini tidak ada informasi lebih lanjut dari pihak lazada mengenai barang maupun uang saya yang minta saya kembalikan.|2
7051|saya beli kaos polo ga datang datang sampe sekarang sampe lupa|kalau pesan barang barang yang murah datang nya cepat kalau pesan yang mahal sedikit terlambat bahkan pernah ga datang|1
7052|Refund lama|tolong dibantu proses refund 328422751|1
7053|LAYANAN TERBURUK|"Saya termasuk salah satu pelanggan Lazada. Sudah banyak saya belanja melalui Lazada dan 2 kali saya dikecewakan. Pesanan saya yang terakhir adalah televisi yang sudah proses pengiriman sejak 15 Des 2016 dan sampai saat ini belum juga saya terima. Berkali-kali saya komplain ke CS dan jawaban mereka selalu saja sama ""Akan kami proses ke seller dan jasa pengiriman dan dimohon untuk menunggu"". Pertanyaan lainnya yang saya ajukan apakah ada kendala dalam pengiriman karena sudah lebih dari 2 minggu sejak barang tsb dikirimkan, brg tersebut belum juga sampai ke alamat saya. Kesimpulan saya dari hasil komplain yang sudah saya lakukan berkali-kali adalah nihil dan mereka hanya memberikan jawaban kosong atas keluhan yang saya utarakan. Setelah kejadian ini saya memutuskan untuk tidak lagi mempercayakan Lazada dalam melakukan transaksi belanja secara online."|1
7054|gak jelas|356428253 ini nomor resi ku kok belum nyampe padahalku mesannya 2016 sekarang dah 2017|1
7055|Mengecewakan|Saya order dan bayar dihari yang sama dan langsung dikonfirmasi pembayarannya hari itu juga tgl 27 Juni 2016. Tgl 30 saya dapat email barang dikirimkan dgn estimasi diterima 30-4 juli 2016. Sampai dengan tgl 11 saya belum terima barang dan tidak ada pemberitahuan dari Lazada. Orderan saya cukup mahal, tp pelayanan yg diberikan sungguh mgecewakan.|1
7057|super lelet|Lazada gak ada ngasih kepastoan tanggal nympe barangnya, janjinya paling lambat 6 hari barangya bakal nympe.. buktinya udah 10 hari saya nunggu blm juga nympe.. pertama katanya tgl 21 kemaren udah dikirim melalui LEX, toh tgl 29 kemaren dikonfirmasi lagi sama lazada klu barang baru dikirim hari itu melalui JNE, pas diranya ke pihak JNE barangnya blm dikirim, masih di jakarta pusat toh barang.. tnya lagi ke cs lazada, paling lambat barangnya bakal nympe tgl 17 agustus.. tuh barang mau rayain momen kemerdekaan kelesss.. benar2 memberikan kesan yg buruk|1
7058|LAZADA PARAH, KAPOK BELI DI LAZADA SEKARANG|barang gua g nyampe-nyampe... PHP, mana barang gua, posisi ada dimana? serba g jelas, live chat g membantu sama sekali|1
7059|kecewa|pesan barang tgl 22 november 2016 sampai dgn tanggal 5 des 2016 barang blm diterima, padahal sudah ada verivikasi pembayaran, 1-2 dikirim,,, katanya.....|1
7060|lagi lagi refund dana sangat amat lama d proses|"Pihak lazada ada email tgl 9 des yang isinya ""Terkait dengan pengembalian dana nomor order 328347281 yang disebabkan karena pembatalan pesanan atau pengembalian barang. Dana Anda kami kembalikan dalam bentuk Voucher Store Credit karena kami belum menerima informasi data rekening bank penerima. Voucher Store Credit dapat Anda gunakan untuk melakukan pemesanan selanjutnya."" Di bawahnya ada pilihan untuk pengembalian dalam bentuk transfer yaitu Refund Form, lalu saya klik dan isi data rekening dengan benar, karena saya ingin refund dana dalam bentuk transfer. Pada tgl 10 des saya dapat email konfirmasi rekening yg isinya ""Berikut informasi data rekening yang Anda masukan untuk pengembalian dana, No order/pesanan : 328347281 Alamat email : [private info removed] No Rekening : [private info removed] Nama pemilik rekening : SHELLA DWI SOFYANA Bank : BCA (BANK CENTRAL ASIA) Nama cabang Bank : SENAYAN CITY Kota : JAKARTA Mohon pastikan semua data yang dimasukkan sudah benar. Pengembalian dana akan diproses antara 3-5 hari kerja ke rekening yang tela= Anda informasikan."" Iya, bilangnya 3-5 hari, tapi saya diam menunggu sampai hampir 2 minggu tidak ada dana refund masuk ke rekening saya. Lalu saya putuskan utk menanyakan melalui email pada tgl 22 des, isinya ""ini sudah hampir 2minggu tapi kok dana refund via tranfer belum masuk juga ya? saya sudah mengisi data bank dll pada tanggal 10des juga sudah ada email konfirmasi data sudah di terima. mohon di cek, kok lama sekali."" SEPERTI BIASA jika email mengenai refund selalu LAMA di tanggapi sampai tgl 24 saya balas lagi untuk cepat di jawab, saya malah mendapat balasan ""Sehubungan dengan pertanyaan Ibu Shella mengenai pengembalian dana dengan nomor pesanan 328347281, kami informasikan bahwa untuk saat okan untuk ini kami infokan untuk pengembalian dananya sudah dikirimkan mengunkanan store credit senilai Rp. 1419900.00 pada tanggal 9 Desember 2016. Ibu bisa cek di email untuk pengembalian dana"". lalu saya BILANG LAGI ingin dananya dalam bentuk tranfer. DAN ini balasan CSnya pd tgl 25 des ""Sehubungan dengan pengembalian dana pesanan Bapak untuk nomor order 328347281, maka untuk proses pengembalian pembayaran kami membutuhkan beberapa informasi, mohon mengisi formulir refund secara online dengan mengunjungi tautan http://www.lazada.co.id/refund/ Estimasi pengembalian dana normalnya membutuhkan waktu 3-7 (Bank Transfer) / 7-14 (Klikpay Mandiri) hari kerja."" Like seriously?! Saya sudah sangat kesal, ini CS nya ngerti bahasa indonesia apa ngga sih?! kelihatan sekali tidak mau ambil pusing asal jawab dan copas link data refund lagi. Saya harus ISI DATA LAGI LALU HARUS NUNGGU 2 MINGGU LAGI gitu? TERUS SAYA HARUS EMAIL LAGI KARNA DANANYA BELUM DI TRANSFER LAGI JUGA????? TERUS AJA BEGITU SAMPE AKHIR TAHUN DEPAN. Dari tanggal 9 desember juga saya SUDAH ISI DATA REKENING REFUND, saya itu sudah NUNGGU 2 MINGGU! Habis kesabaran saya disini. Tolong pihak finance dan CS lazada kerjanya yg benar!"|1
7061|penipu kelas teri|W beli lampu lentera di lazada dan di gambar ada colokan buat charger. Pas barang diterima ternyata gak ada colokan chargernya dan harus pake baterei. Nipu kecil kecilan tapi bisa kaya, salut|1
7062|LAZADA MENGECEWAKAN|saya order ke lazada pada tanggal 6 oktober 2016 namun sampai saat ini tanggal 19 oktober 2016 saya belum menerima barangnya padahal suah melewati batas pengiriman dan begitu saya komplain ke lazada baik via phone maupun live chat hasil semua nihil hanya jawaban menunggu dan menunggu lagi tidak ada jawaban pasti mengenai order saya itu. semoga lazada tidak bangkrut|1
7063|kecewa, proses ribet|pengalaman kedua berbelanja disini prosesnya ribet dan kecewa dengan tindak lanjut lazada. nomor pesanan saya 347655563, dengan nominal sebesar Rp 573.000. saya ingin konfirmasi bahwa saya sudah transfer untuk pesanan tersebut melalui atam mandiri pada pukul 08:55 WIB. tapi kenapa jam 12:51 saya menerima sms ke hp saya bahwa pesanan #347655563 masih menunggu pembayaran. padahal saya sudah bayar.terusgue cek hari ini lewat app lazada pesanan gue dgn kode diatas udah ga ada. Terus gimana dgn duit gw yg udah terpotong. hari ini gw cek lagi ternyata pesanan saya tsb statusnya ditolak. balikin duit saya. secepatnya|1
7065|Mengecewakan|Pesanan no #395431243 saya dari tanggal 12 Desember 2016 dijanjikan diterima paling lama 29 Desember 2016. Sampai hari ini belum juga ada kejelasan sudah dikirim atau tidak. menghubungi CS tidak ada tindak lanjut. Perusahaan online penipu terbesar di Indonesia|1
7067|Pelayanan Amatiran|Sangat Tidak Profesional. Dan tidak Transparan krna tidak bsa dilacak lokasi barang berada. metode pengiriman melalui kurir Lazada. Barang sudah lama tapi tidak sampai2 padahal msih wilayah jabotabek dan pngiriman local. Beda sama situs Online lain. Sekali lagi Mengecewakaaannnn!!!|1
7068|Mengecewakan. Pengiriman sangat lama|Saya memesan HP Nokia pada tgl 26 juni. (Estimasi barang sampai tgl 29-1 juli) Kebetulan tanggal tsb saya berada dirumah. Maka dari itu saya putuskan untuk pembayaran COD. . TETAPI pada tgl 30 barang baru dikirim oleh merchant. Setelah saya tunggu sekian lama. Ternyata barang belum sampai sesuai estimasi yg tertera pada saat pembelian. Pada tanggal 9 juli, saya mendapat notifikasi sms dari LEX bahwa barang akan dikirim ke rumah saya. (Jika mendapat sms dari lazada maka pengiriman akan dilakukan paling maksimal 1 hari kerja) Tetapi sampai tgl 11 pun barang masih belum sampai. Ini merugikan saya sebagai buyer. Kepastian barang sampai tidak ada. Sehingga saya membuang buang waktu saya untuk menunggu barang datang. . Ini kejadian kedua yang saya alami. Pengiriman sangat lambat|1
7070|kecewa|kurir yg ngantar pesanan gk jelas ngantarnya|1
7071|Awas! Barang palsu|Hati-hati membeli barang dengan harga super murah di Lazada. Jangan langsung membeli produk dengan diskon menggiurkan. Bisa jadi Anda membeli produk palsu!|1
7072|kecewa|saya kecewa terhadap lazada, saya beli barang tanggal 25 november, sampai dengan tanggal 1 des 2016 barang yang saya pesan belum datang, meskipun gak seberapa harganya tapi untuk mendapat kepercayaan pelanggan susah. tolong diperbaiki dan kirimkan barang yang saya pesan atau kirim uang yang saya transfer.|1
7073|BURUK!!!!|Awalnya saya bingung cari kado ulang tahun buat teman browsing sana sini ketemu salah satu produk di lazada... Singkat cerita tanggal 06 Oktober 2016 saya order dan langsung verifikasi via transfer bang hari itu juga... Konfirmasi sukses dan laporan barang akan diterima 1 - 2 hari kerja lokasi juga di bekasi sehari dua hari status saya periksa masih dalam proses ? loh bisa telat kadonya kalo masih dalam proses hari itu juga saat hubunggi cs via email dan live chat dan suruh menunggu 2 hari kerja ya sudah saat tunggu walaupun agak kecewa... 2 hari 3 hari seminggu saya cek lagi dan sama masih dalam proses... Saya hubunggi cs lagi dan suruh menunggu 2 - 3 hari kerja kembali dan sampai saat ini tanggal 19 oktober 2016 barang sama sekali belum diterima bahkan status pengirimannya tereset ke tanggal 06 Oktober 2016 status pengiriman tidak bisa diinformasikan keterangan di no order saya... Haduh ini toko online atau apa ya masa barang yg saya pesan informasnya gak boleh tahu!!!! Kesel dongkol malu sampai saat ini masih suruh nunggu terakhir saya live chat dengan CS nawarin refund loh dari kemarib kemana aja!! Bukan masalah nominalnya bos tapi udah janji sama yg di beliin barang kalo stock kosong atau suplier gak jelas tolong diupdate... Kecewa dengan pelayanan lazada masa kalah dengan tokok online abal abal lainnya|1
7075|Mengecewakan|"Awalnya sih order pertama nyampe rumah..bagus 3 order cod dibatalkan sepihak katanya alamat tidak ditemukan,padahal order sebelumnya nyampe rumah aneh.. Order standar udh tranfer dapet konfirmasi 3 hari kemudian barang udah terkirim dengan sukses. Padahal belum jg datang ke rumah pesanan sy,,kecil sh timbang order 50rb.yg lainnya cod pun gak dateng"". Mau belanja murah ehh pake nelpon ke customer servis z udah bobol,,hadeuh mana susah bgt buat keluhan. Yg aneh nya lgi saya cek di keranjang belanja nya ko barang susah d lacak ya.. Laporan terkirim sh ada pas mau di lacak tokonya sapa,komplain konfirmasi tuh barang malah gk bisa di buka alias error.. Alamaak terahir sy belanja di lazada..buang"" waktu,pulsa,n jengkel. Ya udah lah ini pengalaman saya di bikin jengkel mu kaya gmna jg malu cuma 50rb,,. hapus aja aplikasinya,,buang"" kuota"|2
7076|Buruk|Saya baru pertama kali beli dilazada tapi sudah mengecewakan.s ingkat cerita kamis 17 des saya membeli mucro sd sandisk 16 giga,saya lagsug transfer melalui m banking,tapi tiba- tiba saya mendapat sms kalau saya harys segera transfer,padahal saya sudah transfer,selang 2 hari pas tanggal 18 des pas saya cek,tiba-tiba orderan saya ditolak.saya kecewa...|1
7077|SANGAT KECEWA|Saya sngat kecewa dengan lepayanan lazada, barang yang saya beli tak kunjung datang! Kode pesanan #336471423 saya udh tunggu-tunggu namun tak jdi dikirim!|1
7078|barang belum sampai|saya pesan dari tgl 19 des 2016 sampai tgl 2 jan 2017 belum sampai juga. sudah komplain jawabnnya suruh nunggu|1
7079|lama n lemot lex,,kecewa|Gue order dri tanggal 1 sampe skrg itu barang ga sampe2,pdhl di notif nya tgl 2 barang dah masuk pengiriman via LEX. sampe lebaran udah lewat msh blm nyampe juga. asli bete gue gajelas bgt. kalo pake JNE bisa lacak resi. nah ini ga bisa..|1
